Skills,Industry
TMJ Treatment,Air Freight/Delivery Services
Okuma,Business Services
Luxury Goods,Investment Managers
IOS Firewall,Oil & Gas Production
Wireless Networking,Hotels/Resorts
Higher Education Administration,Biotechnology: Biological Products (No Diagnostic Substances)
Tunneling,Business Services
TPP,n/a
Sports Nutrition,n/a
PVCS,Clothing/Shoe/Accessory Stores
C-TPAT,Advertising
Youth Empowerment,Semiconductors
GPCRs,Industrial Specialties
Kaledo,Investment Bankers/Brokers/Service
Pharmaceutical Industry,Catalog/Specialty Distribution
Xen,n/a
BMC Remedy,n/a
SQL PL,n/a
HMRC enquiries,Business Services
Linux,Natural Gas Distribution
LCD Projectors,Broadcasting
Otology,Metal Fabrications
NCARB,Home Furnishings
YSlow,Property-Casualty Insurers
Cisco UCS,Savings Institutions
PBX,Computer Software: Prepackaged Software
Turf,Military/Government/Technical
Atmel AVR,n/a
EEO/AA Compliance,Telecommunications Equipment
RF Test,Property-Casualty Insurers
Biopharmaceuticals,Automotive Aftermarket
Customer Follow-up,n/a
Java Enterprise Edition,Computer Software: Prepackaged Software
PVD,n/a
Accounting,Business Services
SOA BPEL,Telecommunications Equipment
DWR,Medical Specialities
Allen-Bradley,Miscellaneous manufacturing industries
PIM-DM,EDP Services
Fraud,Engineering & Construction
Wildlife,n/a
EBSCO,n/a
LTL,Other Consumer Services
Immigration Law,Industrial Machinery/Components
DGPS,Specialty Chemicals
Sales Process,Water Supply
Yellow Book,n/a
Utility Billing,Industrial Specialties
Civil Litigation,Computer Software: Prepackaged Software
CVS,Telecommunications Equipment
Non-fiction,n/a
Estimates,Banks
Web Content Management,Business Services
vCenter Server,Major Banks
Menu Development,Food Distributors
Awesomeness,Other Consumer Services
JSTOR,Restaurants
ESB,n/a
WTT,Biotechnology: Biological Products (No Diagnostic Substances)
Evangelism,n/a
PKCS#11,Computer Software: Prepackaged Software
RoboHelp,n/a
WCSF,Electronic Components
Lean Manufacturing,Finance: Consumer Services
Naval Architecture,n/a
Emergency Nursing,Homebuilding
Immigration Law,Marine Transportation
Art History,Industrial Specialties
International Political Economy,Business Services
Embedded Linux,Forest Products
e-QIP,Other Consumer Services
TSCM,Computer Manufacturing
UNIX Utilities,n/a
Topographic Surveys,Business Services
Networking,n/a
VCL,n/a
Bank-owned Properties,Savings Institutions
RTCP,n/a
ODBC,Major Pharmaceuticals
nDo,Business Services
jQuery,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
Sustainability,n/a
Criminal Law,n/a
HDLC,Major Chemicals
General Insurance,Major Pharmaceuticals
EWM,Business Services
SAP ERP,Real Estate Investment Trusts
Data Guard,Power Generation
eHRPD,Engineering & Construction
InDesign,Savings Institutions
VTS,n/a
Smartforms,n/a
Tiles,Medical/Dental Instruments
Customer Support,Major Pharmaceuticals
CCDA,n/a
Corporate Identity,Biotechnology: Biological Products (No Diagnostic Substances)
Sanction II,n/a
Professional Ethics,Major Pharmaceuticals
BCM,Major Pharmaceuticals
DFT Compiler,Real Estate
5 Why,Business Services
RDFS,Major Pharmaceuticals
Product Knowledge,Natural Gas Distribution
HP Server Hardware,n/a
RDFS,Computer Software: Prepackaged Software
Overseas Experience,Major Banks
CNS disorders,Telecommunications Equipment
Tourism Management,n/a
Zenworks,Radio And Television Broadcasting And Communications Equipment
Career Development,Commercial Banks
Award Ceremonies,Computer Manufacturing
JBuilder,n/a
Sustainability,Medical Specialities
Interactive Whiteboard,Home Furnishings
BSR Advance,Industrial Machinery/Components
Xsan,Business Services
Observational Studies,Major Banks
GSM-R,Apparel
VPM,Clothing/Shoe/Accessory Stores
Quality Improvement,n/a
LLDP,Major Pharmaceuticals
Rock Climbing,Oil & Gas Production
Channel Partners,Farming/Seeds/Milling
JAX-RPC,Real Estate Investment Trusts
Signal Processing,Property-Casualty Insurers
CG Lighting,Catalog/Specialty Distribution
Psychometrics,Auto Parts:O.E.M.
Aquatics,Finance: Consumer Services
UPS Shipping,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
Rock Music,Electrical Products
High Availability,Investment Bankers/Brokers/Service
NSF,Newspapers/Magazines
Httpd,Property-Casualty Insurers
NSA-IAM,Real Estate Investment Trusts
Iron Ore,Biotechnology: In Vitro & In Vivo Diagnostic Substances
Fashion Blogging,Biotechnology: Commercial Physical & Biological Resarch
HTML Scripting,n/a
BSD,Real Estate Investment Trusts
CND,Major Banks
DHTMLX,Major Pharmaceuticals
HACCP,Other Specialty Stores
FM Radio,EDP Services
MPower,Computer Software: Prepackaged Software
BDD,Major Banks
Employee Engagement,Savings Institutions
UV disinfection,n/a
JSF,n/a
Oracle HR,Catalog/Specialty Distribution
DFMA,Telecommunications Equipment
Teeth Whitening,Investment Bankers/Brokers/Service
MySQL,Recreational Products/Toys
Control Systems Design,Medical/Dental Instruments
Ticket Sales,Clothing/Shoe/Accessory Stores
Ntop,Aerospace
WLAN,n/a
WS-Federation,Other Consumer Services
VLDB,Investment Bankers/Brokers/Service
InfoComm CTS,n/a
Yard Signs,Computer Software: Prepackaged Software
Fragrance,n/a
E-Learning,Other Consumer Services
SSADM,Packaged Foods
Supervisory Skills,EDP Services
Publications,Business Services
DMAIC,n/a
Non-profit Board Development,Power Generation
WTL,RETAIL: Building Materials
Web TV,n/a
QC 9.2,Metal Fabrications
VSTO,Precious Metals
Axis,Computer peripheral equipment
IVT,Clothing/Shoe/Accessory Stores
Urbanism,Metal Fabrications
Art Education,n/a
Luxury Travel,Environmental Services
Abstract Paintings,Industrial Machinery/Components
Gospel,Telecommunications Equipment
Aeronautics,Biotechnology: Biological Products (No Diagnostic Substances)
WFA,Catalog/Specialty Distribution
DNA ligation,Investment Bankers/Brokers/Service
Analytical Chemistry,n/a
Validation,Miscellaneous
Pre-sales,Real Estate Investment Trusts
GUI development,Property-Casualty Insurers
VSS,Meat/Poultry/Fish
Shotokan Karate,Electrical Products
NRA,Electronic Components
Photojournalism,Medical/Dental Instruments
NMT,Water Supply
NCPDP,n/a
Western Blotting,n/a
Book Design,Semiconductors
LCR,Business Services
SFI,Semiconductors
Community Development,RETAIL: Building Materials
Young Adults,n/a
Driving License,Major Banks
Awareness Raising,n/a
HDRI,Electric Utilities: Central
Microsoft Dynamics GP,Telecommunications Equipment
DFP,Biotechnology: Biological Products (No Diagnostic Substances)
UDF,n/a
Spring DM,n/a
Functional Specifications,Oil & Gas Production
NYISO,n/a
Ion,Computer Software: Prepackaged Software
GSE,n/a
Biodiversity,Commercial Banks
xCAT,Real Estate Investment Trusts
RSL,Food Distributors
PV Design,Real Estate Investment Trusts
iWay,Consumer Electronics/Appliances
EBA,Marine Transportation
TIG Welding,Apparel
CFM,n/a
Aircraft Systems,Biotechnology: Commercial Physical & Biological Resarch
OAS,Transportation Services
Eye Exams,Telecommunications Equipment
Smartforms,n/a
Blues,Oil & Gas Production
Erosion,Other Consumer Services
Btrieve,Multi-Sector Companies
VCI,n/a
PnL,Telecommunications Equipment
CMMI,n/a
Jin Shin Jyutsu,Coal Mining
CDM,n/a
LC-MS,n/a
JVs,Electric Utilities: Central
Technical Writing,n/a
PK/PD,RETAIL: Building Materials
RT-PCR,Major Pharmaceuticals
Construction Safety,Major Banks
Usability,Other Specialty Stores
KPI Dashboards,Semiconductors
Crystal Xcelsius,EDP Services
BSF,Industrial Specialties
TCL,Biotechnology: Electromedical & Electrotherapeutic Apparatus
Csh,Auto Parts:O.E.M.
CPR Instruction,Biotechnology: Biological Products (No Diagnostic Substances)
VTL,Oil & Gas Production
MPEG,n/a
BGAN,Major Banks
EE4,Major Pharmaceuticals
Life Insurance,Television Services
Family Medicine,Major Pharmaceuticals
Workplace Safety,n/a
CSCP,Medical/Nursing Services
Cardiology,Hotels/Resorts
HTML5,n/a
OAS,Packaged Foods
Pharmacy Benefit Management,Biotechnology: Commercial Physical & Biological Resarch
RMI,Medical/Dental Instruments
SPSS,n/a
Valves,n/a
Downstream Oil &amp; Gas,Real Estate Investment Trusts
After FX,Major Pharmaceuticals
IBM AS/400,Apparel
SCADA,Marine Transportation
VM,Coal Mining
XLSTAT,Computer Software: Prepackaged Software
Klout,"Computer Software: Programming, Data Processing"
Strategic Sourcing,Aerospace
Materials Science,Commercial Banks
Junior Golf,Construction/Ag Equipment/Trucks
Radio Host,n/a
CVE,Major Banks
Eggs,n/a
CNA,n/a
Solid Oxide Fuel Cells,n/a
QSI,Auto Parts:O.E.M.
Jive SBS,Major Banks
Product Marketing,Business Services
Hair Care,n/a
Mysticism,Building Materials
Workforce Management,Shoe Manufacturing
ESRI,n/a
Upstream,n/a
LCR,Finance: Consumer Services
.htaccess,n/a
JVM,Medical/Dental Instruments
Wufoo,Investment Managers
